,SELL_ID,BURGER,COFFEE,COKE,LEMONADE,CALENDAR_DATE,PRICE,QUANTITY,SELL_CATEGORY,YEAR,MONTH,DAY,DAYOFWEEK,HOLIDAY,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR
57,2051,1,0,1,0,2012-01-15,12.73,22,2,2012,1,15,Sunday,No Holiday,1,0,32.0,1
58,2052,1,0,0,1,2012-01-15,12.75,18,2,2012,1,15,Sunday,No Holiday,1,0,32.0,1
59,2053,1,1,1,0,2012-01-15,12.6,32,2,2012,1,15,Sunday,No Holiday,1,0,32.0,1
60,1070,1,0,0,0,2012-01-16,15.5,104,0,2012,1,16,Monday,No Holiday,0,0,23.0,0
61,2051,1,0,1,0,2012-01-16,12.73,40,2,2012,1,16,Monday,No Holiday,0,0,23.0,0
62,2052,1,0,0,1,2012-01-16,12.75,28,2,2012,1,16,Monday,No Holiday,0,0,23.0,0
63,2053,1,1,1,0,2012-01-16,12.6,56,2,2012,1,16,Monday,No Holiday,0,0,23.0,0
64,1070,1,0,0,0,2012-01-17,15.5,106,0,2012,1,17,Tuesday,No Holiday,0,0,23.0,0
65,2051,1,0,1,0,2012-01-17,12.73,38,2,2012,1,17,Tuesday,No Holiday,0,0,23.0,0
66,2052,1,0,0,1,2012-01-17,12.75,22,2,2012,1,17,Tuesday,No Holiday,0,0,23.0,0
67,2053,1,1,1,0,2012-01-17,12.6,54,2,2012,1,17,Tuesday,No Holiday,0,0,23.0,0
68,1070,1,0,0,0,2012-01-18,15.5,108,0,2012,1,18,Wednesday,No Holiday,0,0,23.0,0
69,2051,1,0,1,0,2012-01-18,12.73,40,2,2012,1,18,Wednesday,No Holiday,0,0,23.0,0
70,2052,1,0,0,1,2012-01-18,12.75,24,2,2012,1,18,Wednesday,No Holiday,0,0,23.0,0
71,2053,1,1,1,0,2012-01-18,12.6,58,2,2012,1,18,Wednesday,No Holiday,0,0,23.0,0
72,1070,1,0,0,0,2012-01-19,15.5,100,0,2012,1,19,Thursday,No Holiday,0,0,24.8,0
73,2051,1,0,1,0,2012-01-19,12.73,32,2,2012,1,19,Thursday,No Holiday,0,0,24.8,0
74,2052,1,0,0,1,2012-01-19,12.75,24,2,2012,1,19,Thursday,No Holiday,0,0,24.8,0
75,2053,1,1,1,0,2012-01-19,12.6,54,2,2012,1,19,Thursday,No Holiday,0,0,24.8,0
76,1070,1,0,0,0,2012-01-20,15.5,100,0,2012,1,20,Friday,No Holiday,0,0,26.6,0
77,2051,1,0,1,0,2012-01-20,12.73,36,2,2012,1,20,Friday,No Holiday,0,0,26.6,0
78,2052,1,0,0,1,2012-01-20,12.75,22,2,2012,1,20,Friday,No Holiday,0,0,26.6,0
79,2053,1,1,1,0,2012-01-20,12.6,58,2,2012,1,20,Friday,No Holiday,0,0,26.6,0
80,1070,1,0,0,0,2012-01-21,15.5,70,0,2012,1,21,Saturday,No Holiday,1,0,26.6,0
81,2051,1,0,1,0,2012-01-21,12.73,22,2,2012,1,21,Saturday,No Holiday,1,0,26.6,0
82,2052,1,0,0,1,2012-01-21,12.75,22,2,2012,1,21,Saturday,No Holiday,1,0,26.6,0
83,2053,1,1,1,0,2012-01-21,12.6,40,2,2012,1,21,Saturday,No Holiday,1,0,26.6,0
84,1070,1,0,0,0,2012-01-22,15.5,74,0,2012,1,22,Sunday,No Holiday,1,1,24.8,0
85,2051,1,0,1,0,2012-01-22,12.73,30,2,2012,1,22,Sunday,No Holiday,1,1,24.8,0
86,2052,1,0,0,1,2012-01-22,12.75,16,2,2012,1,22,Sunday,No Holiday,1,1,24.8,0
87,2053,1,1,1,0,2012-01-22,12.6,34,2,2012,1,22,Sunday,No Holiday,1,1,24.8,0
88,1070,1,0,0,0,2012-01-23,15.5,108,0,2012,1,23,Monday,No Holiday,0,1,23.0,0
89,2051,1,0,1,0,2012-01-23,12.73,38,2,2012,1,23,Monday,No Holiday,0,1,23.0,0
90,2052,1,0,0,1,2012-01-23,12.75,20,2,2012,1,23,Monday,No Holiday,0,1,23.0,0
91,2053,1,1,1,0,2012-01-23,12.6,52,2,2012,1,23,Monday,No Holiday,0,1,23.0,0
92,1070,1,0,0,0,2012-01-24,15.5,100,0,2012,1,24,Tuesday,No Holiday,0,1,24.8,0
93,2051,1,0,1,0,2012-01-24,12.73,36,2,2012,1,24,Tuesday,No Holiday,0,1,24.8,0
94,2052,1,0,0,1,2012-01-24,12.75,26,2,2012,1,24,Tuesday,No Holiday,0,1,24.8,0
95,2053,1,1,1,0,2012-01-24,12.6,56,2,2012,1,24,Tuesday,No Holiday,0,1,24.8,0
96,1070,1,0,0,0,2012-01-25,15.5,100,0,2012,1,25,Wednesday,No Holiday,0,1,23.0,0
97,2051,1,0,1,0,2012-01-25,12.73,38,2,2012,1,25,Wednesday,No Holiday,0,1,23.0,0
98,2052,1,0,0,1,2012-01-25,12.75,26,2,2012,1,25,Wednesday,No Holiday,0,1,23.0,0
99,2053,1,1,1,0,2012-01-25,12.6,60,2,2012,1,25,Wednesday,No Holiday,0,1,23.0,0
100,1070,1,0,0,0,2012-01-26,15.5,106,0,2012,1,26,Thursday,No Holiday,0,1,24.8,0
101,2051,1,0,1,0,2012-01-26,12.73,38,2,2012,1,26,Thursday,No Holiday,0,1,24.8,0
102,2052,1,0,0,1,2012-01-26,12.75,26,2,2012,1,26,Thursday,No Holiday,0,1,24.8,0
103,2053,1,1,1,0,2012-01-26,12.6,52,2,2012,1,26,Thursday,No Holiday,0,1,24.8,0
104,1070,1,0,0,0,2012-01-27,15.5,86,0,2012,1,27,Friday,No Holiday,0,1,32.0,1
105,2051,1,0,1,0,2012-01-27,12.73,28,2,2012,1,27,Friday,No Holiday,0,1,32.0,1
106,2052,1,0,0,1,2012-01-27,12.75,18,2,2012,1,27,Friday,No Holiday,0,1,32.0,1
107,2053,1,1,1,0,2012-01-27,12.6,46,2,2012,1,27,Friday,No Holiday,0,1,32.0,1
108,1070,1,0,0,0,2012-01-28,15.5,62,0,2012,1,28,Saturday,No Holiday,1,1,32.0,1
109,2051,1,0,1,0,2012-01-28,12.73,24,2,2012,1,28,Saturday,No Holiday,1,1,32.0,1
110,2052,1,0,0,1,2012-01-28,12.75,14,2,2012,1,28,Saturday,No Holiday,1,1,32.0,1
111,2053,1,1,1,0,2012-01-28,12.6,34,2,2012,1,28,Saturday,No Holiday,1,1,32.0,1
112,1070,1,0,0,0,2012-01-29,15.5,70,0,2012,1,29,Sunday,No Holiday,1,1,23.0,0
113,2051,1,0,1,0,2012-01-29,12.73,22,2,2012,1,29,Sunday,No Holiday,1,1,23.0,0
114,2052,1,0,0,1,2012-01-29,12.75,14,2,2012,1,29,Sunday,No Holiday,1,1,23.0,0
115,2053,1,1,1,0,2012-01-29,12.6,38,2,2012,1,29,Sunday,No Holiday,1,1,23.0,0
116,1070,1,0,0,0,2012-01-30,15.5,106,0,2012,1,30,Monday,No Holiday,0,1,28.4,0
117,2051,1,0,1,0,2012-01-30,12.73,34,2,2012,1,30,Monday,No Holiday,0,1,28.4,0
118,2052,1,0,0,1,2012-01-30,12.75,22,2,2012,1,30,Monday,No Holiday,0,1,28.4,0
119,2053,1,1,1,0,2012-01-30,12.6,52,2,2012,1,30,Monday,No Holiday,0,1,28.4,0
120,1070,1,0,0,0,2012-01-31,15.5,84,0,2012,1,31,Tuesday,No Holiday,0,1,32.0,1
121,2051,1,0,1,0,2012-01-31,12.73,30,2,2012,1,31,Tuesday,No Holiday,0,1,32.0,1
122,2052,1,0,0,1,2012-01-31,12.75,16,2,2012,1,31,Tuesday,No Holiday,0,1,32.0,1
123,2053,1,1,1,0,2012-01-31,12.6,42,2,2012,1,31,Tuesday,No Holiday,0,1,32.0,1
124,1070,1,0,0,0,2012-02-01,15.5,90,0,2012,2,1,Wednesday,No Holiday,0,1,32.0,1
125,2051,1,0,1,0,2012-02-01,12.73,28,2,2012,2,1,Wednesday,No Holiday,0,1,32.0,1
126,2052,1,0,0,1,2012-02-01,12.75,20,2,2012,2,1,Wednesday,No Holiday,0,1,32.0,1
127,2053,1,1,1,0,2012-02-01,12.6,48,2,2012,2,1,Wednesday,No Holiday,0,1,32.0,1
128,1070,1,0,0,0,2012-02-02,15.5,64,0,2012,2,2,Thursday,Luner New Year,0,1,32.0,1
129,2051,1,0,1,0,2012-02-02,12.73,18,2,2012,2,2,Thursday,Luner New Year,0,1,32.0,1
130,2052,1,0,0,1,2012-02-02,12.75,18,2,2012,2,2,Thursday,Luner New Year,0,1,32.0,1
131,2053,1,1,1,0,2012-02-02,12.6,34,2,2012,2,2,Thursday,Luner New Year,0,1,32.0,1
132,1070,1,0,0,0,2012-02-03,15.5,62,0,2012,2,3,Friday,Luner New Year,0,1,32.0,1
133,2051,1,0,1,0,2012-02-03,12.73,20,2,2012,2,3,Friday,Luner New Year,0,1,32.0,1
134,2052,1,0,0,1,2012-02-03,12.75,16,2,2012,2,3,Friday,Luner New Year,0,1,32.0,1
135,2053,1,1,1,0,2012-02-03,12.6,32,2,2012,2,3,Friday,Luner New Year,0,1,32.0,1
136,1070,1,0,0,0,2012-02-04,15.5,42,0,2012,2,4,Saturday,Luner New Year,1,1,32.0,1
137,2051,1,0,1,0,2012-02-04,12.73,12,2,2012,2,4,Saturday,Luner New Year,1,1,32.0,1
138,2052,1,0,0,1,2012-02-04,12.75,16,2,2012,2,4,Saturday,Luner New Year,1,1,32.0,1
139,2053,1,1,1,0,2012-02-04,12.6,20,2,2012,2,4,Saturday,Luner New Year,1,1,32.0,1
140,1070,1,0,0,0,2012-02-05,15.5,38,0,2012,2,5,Sunday,Luner New Year,1,1,32.0,1
141,2051,1,0,1,0,2012-02-05,12.73,12,2,2012,2,5,Sunday,Luner New Year,1,1,32.0,1
142,2052,1,0,0,1,2012-02-05,12.75,8,2,2012,2,5,Sunday,Luner New Year,1,1,32.0,1
143,2053,1,1,1,0,2012-02-05,12.6,28,2,2012,2,5,Sunday,Luner New Year,1,1,32.0,1
144,1070,1,0,0,0,2012-02-06,15.5,56,0,2012,2,6,Monday,Luner New Year,0,1,32.0,1
145,2051,1,0,1,0,2012-02-06,12.73,26,2,2012,2,6,Monday,Luner New Year,0,1,32.0,1
146,2052,1,0,0,1,2012-02-06,12.75,12,2,2012,2,6,Monday,Luner New Year,0,1,32.0,1
147,2053,1,1,1,0,2012-02-06,12.6,32,2,2012,2,6,Monday,Luner New Year,0,1,32.0,1
148,1070,1,0,0,0,2012-02-07,15.5,56,0,2012,2,7,Tuesday,Luner New Year,0,1,32.0,1
149,2051,1,0,1,0,2012-02-07,12.73,18,2,2012,2,7,Tuesday,Luner New Year,0,1,32.0,1
150,2052,1,0,0,1,2012-02-07,12.75,18,2,2012,2,7,Tuesday,Luner New Year,0,1,32.0,1
151,2053,1,1,1,0,2012-02-07,12.6,30,2,2012,2,7,Tuesday,Luner New Year,0,1,32.0,1
152,1070,1,0,0,0,2012-02-08,15.5,60,0,2012,2,8,Wednesday,Luner New Year,0,1,32.0,1
153,2051,1,0,1,0,2012-02-08,12.73,20,2,2012,2,8,Wednesday,Luner New Year,0,1,32.0,1
154,2052,1,0,0,1,2012-02-08,12.75,16,2,2012,2,8,Wednesday,Luner New Year,0,1,32.0,1
155,2053,1,1,1,0,2012-02-08,12.6,30,2,2012,2,8,Wednesday,Luner New Year,0,1,32.0,1
156,1070,1,0,0,0,2012-02-09,15.5,88,0,2012,2,9,Thursday,No Holiday,0,1,32.0,1
157,2051,1,0,1,0,2012-02-09,12.73,28,2,2012,2,9,Thursday,No Holiday,0,1,32.0,1
158,2052,1,0,0,1,2012-02-09,12.75,16,2,2012,2,9,Thursday,No Holiday,0,1,32.0,1
159,2053,1,1,1,0,2012-02-09,12.6,42,2,2012,2,9,Thursday,No Holiday,0,1,32.0,1
160,1070,1,0,0,0,2012-02-10,15.5,90,0,2012,2,10,Friday,No Holiday,0,1,32.0,1
161,2051,1,0,1,0,2012-02-10,12.73,26,2,2012,2,10,Friday,No Holiday,0,1,32.0,1
162,2052,1,0,0,1,2012-02-10,12.75,20,2,2012,2,10,Friday,No Holiday,0,1,32.0,1
163,2053,1,1,1,0,2012-02-10,12.6,44,2,2012,2,10,Friday,No Holiday,0,1,32.0,1
164,1070,1,0,0,0,2012-02-11,15.5,76,0,2012,2,11,Saturday,No Holiday,1,1,24.8,0
165,2051,1,0,1,0,2012-02-11,12.73,26,2,2012,2,11,Saturday,No Holiday,1,1,24.8,0
166,2052,1,0,0,1,2012-02-11,12.75,14,2,2012,2,11,Saturday,No Holiday,1,1,24.8,0
167,2053,1,1,1,0,2012-02-11,12.6,40,2,2012,2,11,Saturday,No Holiday,1,1,24.8,0
168,1070,1,0,0,0,2012-02-12,15.5,72,0,2012,2,12,Sunday,No Holiday,1,1,24.8,0
169,2051,1,0,1,0,2012-02-12,12.73,26,2,2012,2,12,Sunday,No Holiday,1,1,24.8,0
170,2052,1,0,0,1,2012-02-12,12.75,16,2,2012,2,12,Sunday,No Holiday,1,1,24.8,0
171,2053,1,1,1,0,2012-02-12,12.6,34,2,2012,2,12,Sunday,No Holiday,1,1,24.8,0
172,1070,1,0,0,0,2012-02-13,15.5,90,0,2012,2,13,Monday,No Holiday,0,1,32.0,1
173,2051,1,0,1,0,2012-02-13,12.73,30,2,2012,2,13,Monday,No Holiday,0,1,32.0,1
174,2052,1,0,0,1,2012-02-13,12.75,16,2,2012,2,13,Monday,No Holiday,0,1,32.0,1
175,2053,1,1,1,0,2012-02-13,12.6,46,2,2012,2,13,Monday,No Holiday,0,1,32.0,1
176,1070,1,0,0,0,2012-02-14,15.5,82,0,2012,2,14,Tuesday,No Holiday,0,1,32.0,1
177,2051,1,0,1,0,2012-02-14,12.73,32,2,2012,2,14,Tuesday,No Holiday,0,1,32.0,1
178,2052,1,0,0,1,2012-02-14,12.75,18,2,2012,2,14,Tuesday,No Holiday,0,1,32.0,1
179,2053,1,1,1,0,2012-02-14,12.6,44,2,2012,2,14,Tuesday,No Holiday,0,1,32.0,1
180,1070,1,0,0,0,2012-02-15,15.5,86,0,2012,2,15,Wednesday,No Holiday,0,0,32.0,1
181,2051,1,0,1,0,2012-02-15,12.73,30,2,2012,2,15,Wednesday,No Holiday,0,0,32.0,1
182,2052,1,0,0,1,2012-02-15,12.75,16,2,2012,2,15,Wednesday,No Holiday,0,0,32.0,1
183,2053,1,1,1,0,2012-02-15,12.6,48,2,2012,2,15,Wednesday,No Holiday,0,0,32.0,1
184,1070,1,0,0,0,2012-02-16,15.5,86,0,2012,2,16,Thursday,No Holiday,0,0,32.0,1
185,2051,1,0,1,0,2012-02-16,12.73,32,2,2012,2,16,Thursday,No Holiday,0,0,32.0,1
186,2052,1,0,0,1,2012-02-16,12.75,16,2,2012,2,16,Thursday,No Holiday,0,0,32.0,1
187,2053,1,1,1,0,2012-02-16,12.6,42,2,2012,2,16,Thursday,No Holiday,0,0,32.0,1
188,1070,1,0,0,0,2012-02-17,15.5,84,0,2012,2,17,Friday,No Holiday,0,0,32.0,1
189,2051,1,0,1,0,2012-02-17,12.73,26,2,2012,2,17,Friday,No Holiday,0,0,32.0,1
190,2052,1,0,0,1,2012-02-17,12.75,18,2,2012,2,17,Friday,No Holiday,0,0,32.0,1
191,2053,1,1,1,0,2012-02-17,12.6,42,2,2012,2,17,Friday,No Holiday,0,0,32.0,1
192,1070,1,0,0,0,2012-02-18,15.5,62,0,2012,2,18,Saturday,No Holiday,1,0,32.0,1
193,2051,1,0,1,0,2012-02-18,12.73,18,2,2012,2,18,Saturday,No Holiday,1,0,32.0,1
194,2052,1,0,0,1,2012-02-18,12.75,16,2,2012,2,18,Saturday,No Holiday,1,0,32.0,1
195,2053,1,1,1,0,2012-02-18,12.6,30,2,2012,2,18,Saturday,No Holiday,1,0,32.0,1
196,1070,1,0,0,0,2012-02-19,15.5,60,0,2012,2,19,Sunday,No Holiday,1,0,37.4,1
197,2051,1,0,1,0,2012-02-19,12.73,26,2,2012,2,19,Sunday,No Holiday,1,0,37.4,1
198,2052,1,0,0,1,2012-02-19,12.75,16,2,2012,2,19,Sunday,No Holiday,1,0,37.4,1
199,2053,1,1,1,0,2012-02-19,12.6,28,2,2012,2,19,Sunday,No Holiday,1,0,37.4,1
200,1070,1,0,0,0,2012-02-20,15.5,88,0,2012,2,20,Monday,No Holiday,0,0,37.4,1
201,2051,1,0,1,0,2012-02-20,12.73,26,2,2012,2,20,Monday,No Holiday,0,0,37.4,1
202,2052,1,0,0,1,2012-02-20,12.75,20,2,2012,2,20,Monday,No Holiday,0,0,37.4,1
203,2053,1,1,1,0,2012-02-20,12.6,44,2,2012,2,20,Monday,No Holiday,0,0,37.4,1
204,1070,1,0,0,0,2012-02-21,15.5,90,0,2012,2,21,Tuesday,No Holiday,0,0,39.2,1
205,2051,1,0,1,0,2012-02-21,12.73,26,2,2012,2,21,Tuesday,No Holiday,0,0,39.2,1
206,2052,1,0,0,1,2012-02-21,12.75,20,2,2012,2,21,Tuesday,No Holiday,0,0,39.2,1
207,2053,1,1,1,0,2012-02-21,12.6,44,2,2012,2,21,Tuesday,No Holiday,0,0,39.2,1
208,1070,1,0,0,0,2012-02-22,15.5,90,0,2012,2,22,Wednesday,No Holiday,0,0,39.2,1
209,2051,1,0,1,0,2012-02-22,12.73,30,2,2012,2,22,Wednesday,No Holiday,0,0,39.2,1
210,2052,1,0,0,1,2012-02-22,12.75,20,2,2012,2,22,Wednesday,No Holiday,0,0,39.2,1
211,2053,1,1,1,0,2012-02-22,12.6,44,2,2012,2,22,Wednesday,No Holiday,0,0,39.2,1
212,1070,1,0,0,0,2012-02-23,15.5,88,0,2012,2,23,Thursday,No Holiday,0,0,42.8,1
213,2051,1,0,1,0,2012-02-23,12.73,30,2,2012,2,23,Thursday,No Holiday,0,0,42.8,1
214,2052,1,0,0,1,2012-02-23,12.75,22,2,2012,2,23,Thursday,No Holiday,0,0,42.8,1
215,2053,1,1,1,0,2012-02-23,12.6,46,2,2012,2,23,Thursday,No Holiday,0,0,42.8,1
216,1070,1,0,0,0,2012-02-24,15.5,82,0,2012,2,24,Friday,No Holiday,0,0,39.2,1
217,2051,1,0,1,0,2012-02-24,12.73,28,2,2012,2,24,Friday,No Holiday,0,0,39.2,1
218,2052,1,0,0,1,2012-02-24,12.75,24,2,2012,2,24,Friday,No Holiday,0,0,39.2,1
219,2053,1,1,1,0,2012-02-24,12.6,46,2,2012,2,24,Friday,No Holiday,0,0,39.2,1
220,1070,1,0,0,0,2012-02-25,15.5,62,0,2012,2,25,Saturday,No Holiday,1,0,37.4,1
221,2051,1,0,1,0,2012-02-25,12.73,22,2,2012,2,25,Saturday,No Holiday,1,0,37.4,1
222,2052,1,0,0,1,2012-02-25,12.75,12,2,2012,2,25,Saturday,No Holiday,1,0,37.4,1
223,2053,1,1,1,0,2012-02-25,12.6,36,2,2012,2,25,Saturday,No Holiday,1,0,37.4,1
224,1070,1,0,0,0,2012-02-26,15.5,60,0,2012,2,26,Sunday,No Holiday,1,0,32.0,1
225,2051,1,0,1,0,2012-02-26,12.73,22,2,2012,2,26,Sunday,No Holiday,1,0,32.0,1
226,2052,1,0,0,1,2012-02-26,12.75,14,2,2012,2,26,Sunday,No Holiday,1,0,32.0,1
227,2053,1,1,1,0,2012-02-26,12.6,30,2,2012,2,26,Sunday,No Holiday,1,0,32.0,1
228,1070,1,0,0,0,2012-02-27,15.5,82,0,2012,2,27,Monday,No Holiday,0,0,30.2,1
229,2051,1,0,1,0,2012-02-27,12.73,30,2,2012,2,27,Monday,No Holiday,0,0,30.2,1
230,2052,1,0,0,1,2012-02-27,12.75,20,2,2012,2,27,Monday,No Holiday,0,0,30.2,1
231,2053,1,1,1,0,2012-02-27,12.6,50,2,2012,2,27,Monday,No Holiday,0,0,30.2,1
232,1070,1,0,0,0,2012-02-28,15.5,86,0,2012,2,28,Tuesday,No Holiday,0,0,33.8,1
233,2051,1,0,1,0,2012-02-28,12.73,26,2,2012,2,28,Tuesday,No Holiday,0,0,33.8,1
234,2052,1,0,0,1,2012-02-28,12.75,22,2,2012,2,28,Tuesday,No Holiday,0,0,33.8,1
235,2053,1,1,1,0,2012-02-28,12.6,42,2,2012,2,28,Tuesday,No Holiday,0,0,33.8,1
236,1070,1,0,0,0,2012-03-01,15.5,84,0,2012,3,1,Thursday,No Holiday,0,0,33.8,1
237,2051,1,0,1,0,2012-03-01,12.73,32,2,2012,3,1,Thursday,No Holiday,0,0,33.8,1
238,2052,1,0,0,1,2012-03-01,12.75,20,2,2012,3,1,Thursday,No Holiday,0,0,33.8,1
239,2053,1,1,1,0,2012-03-01,12.6,50,2,2012,3,1,Thursday,No Holiday,0,0,33.8,1
240,1070,1,0,0,0,2012-03-02,15.5,86,0,2012,3,2,Friday,No Holiday,0,0,35.6,1
241,2051,1,0,1,0,2012-03-02,12.73,34,2,2012,3,2,Friday,No Holiday,0,0,35.6,1
242,2052,1,0,0,1,2012-03-02,12.75,24,2,2012,3,2,Friday,No Holiday,0,0,35.6,1
243,2053,1,1,1,0,2012-03-02,12.6,46,2,2012,3,2,Friday,No Holiday,0,0,35.6,1
